Titre,Entreprise,Ville,Contrat,Date,Ville_propre,Departement,Contrat_propre,texte_complet,cluster_metier,high_demand,pred_high_demand
Assistant Administratif H/F AURA,AURA,Colomiers - 31,CDI,il y a 18 heures,Colomiers,31.0,CDI,Assistant Administratif H/F AURA AURA Colomiers CDI,3,1,1
Responsable Logistique H/F Picnic Technologies,Picnic Technologies,Moissy-Cramayel - 77,CDI,il y a 20 heures,Moissy-Cramayel,77.0,CDI,Responsable Logistique H/F Picnic Technologies Picnic Technologies Moissy-Cramayel CDI,3,1,1
Cuisinier H/F Vitalrest,Vitalrest,Castelnau-le-Lez - 34,CDI,il y a 20 heures,Castelnau-le-Lez,34.0,CDI,Cuisinier H/F Vitalrest Vitalrest Castelnau-le-Lez CDI,3,1,1
Conducteur d'Engins en Scierie H/F Groupe Barillet,Groupe Barillet,Vitry-aux-Loges - 45,CDI,il y a 20 heures,Vitry-aux-Loges,45.0,CDI,Conducteur d'Engins en Scierie H/F Groupe Barillet Groupe Barillet Vitry-aux-Loges CDI,3,1,1
Chargé d'Etudes Géotechniques H/F Ramery,Ramery,Harnes - 62,CDI,il y a 20 heures,Harnes,62.0,CDI,Chargé d'Etudes Géotechniques H/F Ramery Ramery Harnes CDI,3,1,1
Gestionnaire de Parc - Feyzin H/F Kiloutou,Kiloutou,Feyzin - 69,CDI,il y a 20 heures,Feyzin,69.0,CDI,Gestionnaire de Parc - Feyzin H/F Kiloutou Kiloutou Feyzin CDI,3,1,1
Consultant Expérience Client & Solutions Saas H/F Ingram Micro,Ingram Micro,Lesquin - 59,CDI,il y a 20 heures,Lesquin,59.0,CDI,Consultant Expérience Client & Solutions Saas H/F Ingram Micro Ingram Micro Lesquin CDI,3,1,1
Chargé d'Études de Prix - Electricité H/F Groupe Fauché,Groupe Fauché,Périgueux - 24,CDI,il y a 20 heures,Périgueux,24.0,CDI,Chargé d'Études de Prix - Electricité H/F Groupe Fauché Groupe Fauché Périgueux CDI,3,1,1
Conducteur PL de Nuit avec CACES 1-3-5 H/F GT Solutions,GT Solutions,Pantin - 93,CDI,il y a 20 heures,Pantin,93.0,CDI,Conducteur PL de Nuit avec CACES 1-3-5 H/F GT Solutions GT Solutions Pantin CDI,3,1,1
Assistant Ménager et de Prospection H/F Maison et Services,Maison et Services,Châlons-en-Champagne - 51,CDI,il y a 20 heures,Châlons-en-Champagne,51.0,CDI,Assistant Ménager et de Prospection H/F Maison et Services Maison et Services Châlons-en-Champagne CDI,3,1,1
Responsable Agence H/F Socotec,Socotec,Aix-en-Provence - 13,CDI,il y a 20 heures,Aix-en-Provence,13.0,CDI,Responsable Agence H/F Socotec Socotec Aix-en-Provence CDI,3,1,1
Manager Equipe Commerciale H/F Maison Thiriet,Maison Thiriet,Appoigny - 89,CDI,il y a 20 heures,Appoigny,89.0,CDI,Manager Equipe Commerciale H/F Maison Thiriet Maison Thiriet Appoigny CDI,3,1,1
